                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96765,                 3.0538,                 6.3825,                 1.6101,                0.85605,                0.90909,                0.91844,                 0.8097,                0.85605,                0.90909,                0.91844,                0.89018,                0.32712,                 0.5955,                 3.3081,                 1.1354,                 0.0982,                 0.0002,                 0.0002
                      1,                0.83542,                 2.5843,                 6.0957,                 1.5153,                0.81455,                0.90909,                0.91844,                0.85346,                0.81455,                0.90909,                0.91844,                0.90472,                0.31887,                0.60606,                 3.4399,                 1.1382,               0.095451,              0.0004505,              0.0004505
                      2,                0.84209,                  3.241,                 6.6923,                 1.4147,                 0.8441,                0.98543,                0.90346,                0.84151,                 0.8441,                0.98543,                0.90346,                 0.8894,                0.31089,                0.61787,                 3.6974,                 1.1336,               0.092642,              0.0006416,              0.0006416
                      3,                0.78726,                 2.7079,                 4.8947,                 1.3656,                0.90719,                      1,                  0.935,                0.90009,                0.90719,                      1,                  0.935,                0.92401,                0.33813,                 0.5879,                 3.8777,                  1.168,               0.089773,              0.0007733,              0.0007733
                      4,                0.55957,                 1.8789,                 3.1069,                 1.2282,                      1,                0.76066,                0.84746,                0.71211,                      1,                0.76066,                0.84643,                0.73472,                0.48239,                0.73423,                 3.8186,                   1.38,               0.086846,              0.0008456,              0.0008456
                      5,                0.65585,                 1.3374,                 2.4087,                 1.3385,                0.97554,                0.81818,                 0.8344,                0.68151,                0.97554,                0.81818,                0.82641,                0.70368,                 0.4665,                0.74041,                 3.1317,                  1.344,               0.083859,              0.0008585,              0.0008585
                      6,                0.69051,                 1.2925,                 2.1131,                 1.4186,                      1,                0.63426,                0.79419,                0.67357,                      1,                0.63426,                0.79419,                0.68873,                 0.4866,                0.68209,                 2.4292,                 1.3206,               0.080812,               0.000812,               0.000812
                      7,                0.41777,                0.77556,                 1.4917,                 1.1297,                 0.8747,                0.63484,                0.79683,                 0.6872,                 0.8747,                0.63484,                0.79683,                0.72391,                0.51612,                0.61181,                 2.2823,                 1.3204,               0.077706,              0.0007061,              0.0007061
                      8,                0.45157,                0.68677,                 1.4612,                 1.2065,                0.83728,                0.81818,                0.88552,                0.72518,                0.83728,                0.81818,                 0.8808,                0.79642,                0.56251,                0.57685,                 1.9997,                 1.3303,               0.074541,              0.0005408,              0.0005408
                      9,                0.45597,                0.84407,                 1.4582,                 1.2124,                0.89869,                0.80749,                  0.908,                0.77045,                0.89869,                0.80749,                  0.908,                0.84041,                0.55744,                0.57029,                 1.7824,                 1.3249,               0.071316,              0.0003161,              0.0003161
